T_Sys (K), T_Sample_Dif_Cool (K), T_Sample_Dif_Warm (K)
80.430390,26.387831,3.327520
80.700821,26.243347,3.249264
80.971251,26.099636,3.171102
81.241682,25.955924,3.085876
81.512112,25.812162,3.006424
81.782543,25.668396,2.916858
82.052973,25.525273,2.840724
82.323403,25.383193,2.764295
82.593834,25.241113,2.674604
82.864264,25.097479,2.594525
83.134695,24.953523,2.509019
83.405125,24.808850,2.425195
83.675556,24.661369,2.345714
83.945986,24.513889,2.265046
84.216416,24.369750,2.179920
84.486847,24.229419,2.094039
84.757277,24.089088,2.014701
85.027708,23.950407,1.928784
85.298138,23.812037,1.842430
85.568569,23.673399,1.756822
85.838999,23.533798,1.673430
86.109429,23.394196,1.590319
86.379860,23.259570,1.501729
86.650290,23.129591,1.418179
86.920721,22.999611,1.327967
87.191151,22.865477,1.248946
87.461582,22.731195,1.162611
87.732012,22.595050,1.069618
88.002442,22.454623,0.991828
88.272873,22.314197,0.907860
88.543303,22.177945,0.817218
88.813734,22.045988,0.730083
89.084164,21.914030,0.643814
89.354595,21.781198,0.558869
89.625025,21.648187,0.475092
89.895455,21.515261,0.391363
90.165886,21.382898,0.301212
90.436316,21.250534,0.217654
90.706747,21.118356,0.133910
90.977177,20.986422,0.047888
91.247608,20.854488,-0.039750
91.518038,20.724504,-0.129978
91.788468,20.595233,-0.213482
92.058899,20.465979,-0.303693
92.329329,20.336938,-0.389243
92.599760,20.207897,-0.474962
92.870190,20.078849,-0.560315
93.140621,19.949794,-0.646635
93.411051,19.820738,-0.733738
93.681481,19.694506,-0.817995
93.951912,19.569241,-0.906392
94.222342,19.444188,-0.995836
94.492773,19.320274,-1.078754
94.763203,19.196360,-1.166295
95.033634,19.077674,-1.250804
95.304064,18.962399,-1.329465
95.574494,18.847856,-1.407093
95.844925,18.736213,-1.484948
96.115355,18.624570,-1.562522
96.385786,18.514442,-1.640371
96.656216,18.404536,-1.717929
96.926647,18.291215,-1.800168
97.197077,18.175414,-1.872188
97.467508,18.061025,-1.949202
97.737938,17.951866,-2.026527
98.008368,17.842707,-2.100231
98.278799,17.737985,-2.180566
98.549229,17.633462,-2.257234
98.819660,17.528290,-2.329865
99.090090,17.422929,-2.408816
99.360521,17.320487,-2.486773
99.630951,17.220042,-2.558833
99.901381,17.119241,-2.635295
100.171812,17.018062,-2.715758
100.442242,16.917703,-2.784569
100.712673,16.818690,-2.860760
100.983103,16.719579,-2.936511
101.253534,16.620245,-3.005817
101.523964,16.521348,-3.087777
101.794394,16.423861,-3.163386
102.064825,16.326267,-3.231660
102.335255,16.228255,-3.311349
102.605686,16.130718,-3.389010
102.876116,16.035516,-3.456856
103.146547,15.939125,-3.531543
103.416977,15.837017,-3.606199
103.687407,15.735799,-3.680760
103.957838,15.642480,-3.755637
104.228268,15.550598,-3.822447
104.498699,15.467435,-3.895017
104.769129,15.379165,-3.969098
105.039560,15.278551,-4.038611
105.309990,15.181266,-4.117350
105.580420,15.093516,-4.191257
105.850851,15.005642,-4.259447
106.121281,14.917560,-4.334063
106.391712,14.829626,-4.411092
106.662142,14.741849,-4.477753
106.932573,14.653742,-4.550713
107.203003,14.565416,-4.616317
107.473433,14.476610,-4.689244
107.743864,14.387613,-4.759321
108.014294,14.301909,-4.834035
108.284725,14.216883,-4.899576
108.555155,14.131961,-4.972788
108.825586,14.047107,-5.043123
109.096016,13.962681,-5.107701
109.366446,13.878344,-5.179511
109.636877,13.794229,-5.238620
109.907307,13.710203,-5.304697
110.177738,13.626293,-5.372276
110.448168,13.540543,-5.436707
110.718599,13.453488,-5.507238
110.989029,13.374830,-5.570765
111.259459,13.299788,-5.633063
111.529890,13.218177,-5.697225
111.800320,13.137021,-5.760488
112.070751,13.068095,-5.820862
112.341181,12.996670,-5.879723
112.611612,12.920333,-5.943166
112.882042,12.846870,-6.007699
113.152472,12.776006,-6.064494
113.422903,12.705622,-6.121336
113.693333,12.635398,-6.178516
113.963764,12.569418,-6.242404
114.234194,12.502505,-6.303508
114.504625,12.432251,-6.363017
114.775055,12.365643,-6.419347
115.045485,12.303272,-6.475658
115.315916,12.247531,-6.531540
115.586346,12.193847,-6.571701
115.856777,12.140037,-6.627795
116.127207,12.081022,-6.672373
116.397638,12.016954,-6.723346
116.668068,11.960224,-6.770715
116.938498,11.905183,-6.817920
117.208929,11.849802,-6.872776
117.479359,11.796726,-6.919927
117.749790,11.745519,-6.966542
118.020220,11.689145,-7.016332
118.290651,11.635971,-7.066553
118.561081,11.589548,-7.114504
118.831512,11.530744,-7.161954
119.101942,11.469648,-7.208777
119.372372,11.417185,-7.258235
119.642803,11.367263,-7.310202
119.913233,11.319613,-7.353981
120.183664,11.272019,-7.410309
120.454094,11.224450,-7.457992
120.724525,11.176913,-7.504211
120.994955,11.128942,-7.552470
121.265385,11.077831,-7.596465
121.535816,11.020056,-7.646622
121.806246,10.969290,-7.693281
122.076677,10.923261,-7.739908
122.347107,10.887240,-7.794877
122.617538,10.844244,-7.840465
122.887968,10.798240,-7.885725
123.158398,10.757810,-7.930844
123.428829,10.718070,-7.980593
123.699259,10.678870,-8.020874
123.969690,10.640381,-8.072792
124.240120,10.602669,-8.118278
124.510551,10.565893,-8.162485
124.780981,10.536846,-8.215824
125.051411,10.504599,-8.261078
125.321842,10.469608,-8.302713
125.592272,10.429640,-8.351473
125.862703,10.392530,-8.396556
126.133133,10.358385,-8.441206
126.403564,10.319244,-8.486298
126.673994,10.277599,-8.533196
126.944424,10.232697,-8.579354
127.214855,10.183534,-8.620743
127.485285,10.133562,-8.673236
127.755716,10.083803,-8.716150
128.026146,10.034477,-8.753585
128.296577,9.985469,-8.797504
128.567007,9.937255,-8.842551
128.837437,9.886252,-8.887446
129.107868,9.829324,-8.936848
129.378298,9.781987,-8.977277
129.648729,9.740361,-9.016335
129.919159,9.695519,-9.066943
130.189590,9.651270,-9.103210
130.460020,9.607893,-9.147401
130.730450,9.570194,-9.183969
131.000881,9.532611,-9.226530
131.271311,9.488543,-9.270280
131.541742,9.448512,-9.318541
131.812172,9.412143,-9.354827
132.082603,9.383099,-9.391095
132.353033,9.355710,-9.436086
132.623463,9.330158,-9.473595
132.893894,9.297805,-9.517648
133.164324,9.263662,-9.560963
133.434755,9.245505,-9.598601
133.705185,9.221822,-9.643137
133.975616,9.192611,-9.679381
134.246046,9.158335,-9.719453
134.516476,9.124461,-9.762919
134.786907,9.094903,-9.804888
135.057337,9.068706,-9.840588
135.327768,9.044925,-9.877056
135.598198,9.020765,-9.912142
135.868629,8.996774,-9.956492
136.139059,8.973041,-10.000360
136.409489,8.949315,-10.034344
136.679920,8.925601,-10.069411
136.950350,8.901919,-10.109267
137.220781,8.878375,-10.155306
137.491211,8.854909,-10.187018
137.761642,8.831358,-10.228827
138.032072,8.807690,-10.264245
138.302503,8.783878,-10.307782
138.572933,8.750819,-10.335156
138.843363,8.719596,-10.378154
139.113794,8.701895,-10.413064
139.384224,8.680761,-10.456410
139.654655,8.658067,-10.482396
139.925085,8.641245,-10.525549
140.195516,8.627237,-10.559939
140.465946,8.616030,-10.585511
140.736376,8.593645,-10.616493
141.006807,8.575754,-10.651006
141.277237,8.565009,-10.670462
141.547668,8.554486,-10.702596
141.818098,8.544011,-10.728408
142.088529,8.533569,-10.754712
142.358959,8.512601,-10.775247
142.629389,8.491170,-10.808100
142.899820,8.473926,-10.834958
143.170250,8.461121,-10.852918
143.440681,8.450163,-10.880438
143.711111,8.439102,-10.908262
143.981542,8.428071,-10.927235
144.251972,8.414295,-10.955717
144.522402,8.385498,-10.975230
144.792833,8.366042,-10.994634
145.063263,8.354855,-11.024198
145.333694,8.337408,-11.044791
145.604124,8.322659,-11.072392
145.874555,8.311090,-11.086938
146.144985,8.305539,-11.108479
146.415415,8.297530,-11.139237
146.685846,8.286258,-11.150939
146.956276,8.258465,-11.172829
147.226707,8.235452,-11.197235
147.497137,8.224498,-11.215092
147.767568,8.213279,-11.234448
148.037998,8.202151,-11.249022
148.308428,8.191405,-11.274889
148.578859,8.180763,-11.296264
148.849289,8.170097,-11.311217
149.119720,8.159274,-11.327670
149.390150,8.153492,-11.350851
