T_Sys (K), T_Sample_Dif_Cool (K), T_Sample_Dif_Warm (K)
261.618779,3.719753,-2.819052
261.889209,3.686300,-2.815222
262.159640,3.636201,-2.771950
262.430070,3.632536,-2.729732
262.700501,3.637056,-2.649970
262.970931,3.641643,-2.692483
263.241361,3.596480,-2.616762
263.511792,3.547666,-2.584087
263.782222,3.550205,-2.592498
264.052653,3.553351,-2.525048
264.323083,3.551997,-2.498633
264.593514,3.497421,-2.512841
264.863944,3.456794,-2.452047
265.134374,3.461210,-2.395369
265.404805,3.463725,-2.341015
265.675235,3.450155,-2.363727
265.945666,3.396435,-2.314355
266.216096,3.365905,-2.267904
266.486527,3.366202,-2.295911
266.756957,3.314632,-2.254750
267.027387,3.265767,-2.180342
267.297818,3.265038,-2.214981
267.568248,3.263823,-2.181613
267.838679,3.262159,-2.116208
268.109109,3.259573,-2.055436
268.379540,3.221295,-2.097920
268.649970,3.164947,-2.042321
268.920400,3.151699,-1.989807
269.190831,3.130099,-2.006843
269.461261,3.072637,-1.960758
269.731692,3.037116,-1.917920
270.002122,3.024813,-1.877913
270.272553,3.025802,-1.904902
270.542983,3.023026,-1.840466
270.813413,3.014242,-1.779850
271.083844,2.954679,-1.814879
271.354274,2.905456,-1.760756
271.624705,2.897412,-1.710945
271.895135,2.889031,-1.752593
272.165566,2.880315,-1.706163
272.435996,2.870963,-1.641516
272.706426,2.820897,-1.606003
272.976857,2.758208,-1.631036
273.247287,2.742109,-1.575580
273.517718,2.730031,-1.523832
273.788148,2.717513,-1.557015
274.058579,2.655234,-1.513073
274.329009,2.596046,-1.445934
274.599439,2.581574,-1.487766
274.869870,2.566411,-1.453744
275.140300,2.550655,-1.398019
275.410731,2.533855,-1.346088
275.681161,2.516444,-1.373207
275.951592,2.498451,-1.352558
276.222022,2.479265,-1.286458
276.492452,2.459196,-1.320378
276.762883,2.438484,-1.285109
277.033313,2.416826,-1.230312
277.303744,2.394320,-1.180279
277.574174,2.371036,-1.226115
277.844605,2.346427,-1.183901
278.115035,2.321112,-1.124492
278.385465,2.279733,-1.180326
278.655896,2.203983,-1.129280
278.926326,2.187716,-1.084163
279.196757,2.210101,-1.128213
279.467187,2.180067,-1.071687
279.737618,2.148650,-1.040294
280.008048,2.116393,-0.995663
280.278478,2.083159,-1.015295
280.548909,2.048169,-0.960836
280.819339,2.046697,-0.913146
281.089770,2.061499,-0.946045
281.360200,2.023267,-0.909225
281.630631,1.982648,-0.860947
281.901061,1.969348,-0.801997
282.171491,1.981858,-0.852845
282.441922,1.936860,-0.788882
282.712352,1.890434,-0.733297
282.982783,1.865424,-0.781606
283.253213,1.874956,-0.722657
283.523644,1.823716,-0.671852
283.794074,1.822493,-0.719552
284.064505,1.795692,-0.669204
284.334935,1.748521,-0.613038
284.605365,1.759025,-0.566409
284.875796,1.697896,-0.609143
285.146226,1.672619,-0.563712
285.416657,1.676247,-0.501279
285.687087,1.655075,-0.548097
285.957518,1.585988,-0.502507
286.227948,1.569894,-0.455028
286.498378,1.561106,-0.499878
286.768809,1.548686,-0.433860
287.039239,1.532506,-0.386873
287.309670,1.512499,-0.327360
287.580100,1.470452,-0.376847
287.850531,1.382365,-0.304691
288.120961,1.339728,-0.260437
288.391391,1.304469,-0.295871
288.661822,1.264763,-0.247266
288.932252,1.275039,-0.184889
289.202683,1.251996,-0.127937
289.473113,1.196778,-0.182345
289.743544,1.135771,-0.112523
290.013974,1.068999,-0.051786
290.284404,1.027758,-0.112081
290.554835,0.990043,-0.064589
290.825265,0.947336,-0.046137
291.095696,0.879196,-0.075014
291.366126,0.831407,-0.029574
291.636557,0.792505,0.015250
291.906987,0.677846,0.059117
292.177417,0.623156,-0.005583
292.447848,0.554734,0.041790
292.718278,0.481360,0.088791
292.988709,0.426300,0.025917
293.259139,0.350156,0.058025
293.529570,0.291051,0.093509
293.800000,0.228885,0.031533
